Symbol,Name,Country,Sector,Industry
AWK,American Water Works Company Inc. Common Stock,United States,Utilities,Water Supply
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
AWR,American States Water Company Common Stock,United States,Utilities,Water Supply
AWRE,Aware Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
AWX,Avalon Holdings Corporation Common Stock,United States,Utilities,Environmental Services
AX,Axos Financial Inc. Common Stock,United States,Finance,Savings Institutions
AXGN,Axogen Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXIL,AXIL Brands Inc. Common Stock,,Consumer Discretionary,Package Goods/Cosmetics
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
AXON,Axon Enterprise Inc. Common Stock,United States,Industrials,Ordnance And Accessories
AXP,American Express Company Common Stock,United States,Finance,Finance: Consumer Services
AXR,AMREP Corporation Common Stock,United States,Real Estate,Homebuilding
AXS,Axis Capital Holdings Limited Common Stock,Bermuda,Finance,Property-Casualty Insurers
AXS^E,Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares,Bermuda,,
AXSM,Axsome Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AXTA,Axalta Coating Systems Ltd. Common Shares,United States,Consumer Discretionary,Paints/Coatings
AXTI,AXT Inc Common Stock,United States,Technology,Semiconductors
AYI,Acuity Inc. Common Stock,United States,Consumer Discretionary,Building Products
AYRO,AYRO Inc. Common Stock,United States,Consumer Discretionary,Telecommunications Equipment
AYTU,Aytu BioPharma Inc.  Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AZ,A2Z Cust2Mate Solutions Corp. Common Shares,Canada,Industrials,Industrial Machinery/Components
AZEK,The AZEK Company Inc. Class A Common Stock,United States,Industrials,Plastic Products
AZI,Autozi Internet Technology (Global) Ltd. Class A Ordinary Shares,China,Consumer Discretionary,Automotive Aftermarket
AZN,AstraZeneca PLC American Depositary Shares,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
AZO,AutoZone Inc. Common Stock,United States,Consumer Discretionary,Auto & Home Supply Stores
AZTA,Azenta Inc.,United States,Technology,Industrial Machinery/Components
AZTR,Azitra Inc Common Stock,,Health Care,Biotechnology: Pharmaceutical Preparations
AZZ,AZZ Inc.,United States,Industrials,Industrial Specialties
B,Barrick Mining Corporation Common Shares,Canada,Basic Materials,Precious Metals
BA,Boeing Company (The) Common Stock,United States,Industrials,Aerospace
BA^A,Boeing Company (The) Depositary Shares each representing a 1/20th interest in a share of 6.00% Series A Mandatory Convertible Preferred Stock par value $1.00,United States,,
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,China,Consumer Discretionary,Business Services
BAC,Bank of America Corporation Common Stock,United States,Finance,Major Banks
BAC^B,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG,United States,,
BAC^E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,United States,,
BAC^K,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH,United States,,
BAC^L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,United States,,
BAC^M,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK,United States,,
BAC^N,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL,United States,,
BAC^O,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN,United States,,
BAC^P,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP,United States,,
BAC^Q,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.250% Non-Cumulative Preferred Stock Series QQ,United States,,
BAC^S,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.750% Non-Cumulative Preferred Stock Series SS,United States,,
BACQ,Bleichroeder Acquisition Corp. I Class A Ordinary Shares,United States,,
BACQR,Bleichroeder Acquisition Corp. I Right,United States,Finance,Blank Checks
BACQU,Bleichroeder Acquisition Corp. I Unit,United States,Finance,Blank Checks
BAER,Bridger Aerospace Group Holdings Inc. Common Stock,United States,Consumer Discretionary,Business Services
BAERW,Bridger Aerospace Group Holdings Inc. Warrant,United States,Consumer Discretionary,Business Services
BAFN,BayFirst Financial Corp. Common Stock,United States,Finance,Major Banks
BAH,Booz Allen Hamilton Holding Corporation Common Stock,United States,Consumer Discretionary,Professional Services
BAK,Braskem SA ADR,Brazil,Industrials,Major Chemicals
BALL,Ball Corporation Common Stock,United States,Industrials,Containers/Packaging
BALY,Bally's Corporation Common Stock,United States,Consumer Discretionary,Hotels/Resorts
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,,Consumer Discretionary,Other Consumer Services
BANC,Banc of California Inc. Common Stock,United States,Finance,Major Banks
BANC^F,Banc of California Inc. Depositary Shares each representing a 1/40th interest in a share of 7.75% non-cumulative perpetual preferred stock Series F,United States,,
BAND,Bandwidth Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
BANF,BancFirst Corporation Common Stock,United States,Finance,Major Banks
BANFP,BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities,United States,Finance,Major Banks
BANL,CBL International Limited Ordinary Shares,Malaysia,Energy,Oil Refining/Marketing
BANR,Banner Corporation Common Stock,United States,Finance,Major Banks
BANX,ArrowMark Financial Corp. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
BAOS,Baosheng Media Group Holdings Limited Ordinary shares,China,Consumer Discretionary,Business Services
BAP,Credicorp Ltd. Common Stock,Peru,Finance,Commercial Banks
BARK,BARK Inc. Class A Common Stock,United States,Consumer Discretionary,Other Specialty Stores
BASE,Couchbase Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
BATL,Battalion Oil Corporation Common Stock,United States,Energy,Oil & Gas Production
BATRA,Atlanta Braves Holdings Inc. Series A Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
BATRK,Atlanta Braves Holdings Inc. Series C Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
BAX,Baxter International Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
BAYA,Bayview Acquisition Corp Ordinary Shares,United States,,
BAYAR,Bayview Acquisition Corp Right,United States,,
BB,BlackBerry Limited Common Stock,Canada,Technology,Computer Software: Prepackaged Software
BBAI,BigBear.ai Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
BBAR,Banco BBVA Argentina S.A. ADS,Argentina,Finance,Commercial Banks
BBCP,Concrete Pumping Holdings Inc. Common Stock,United States,Consumer Discretionary,Engineering & Construction
BBD,Banco Bradesco Sa American Depositary Shares,Brazil,Finance,Major Banks
BBDC,Barings BDC Inc. Common Stock,United States,Finance,Diversified Financial Services
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),Brazil,Finance,Major Banks
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,United States,Consumer Discretionary,Broadcasting
BBIO,BridgeBio Pharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BBLG,Bone Biologics Corp Common Stock,United States,Health Care,Industrial Specialties
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,United States,Finance,Finance Companies
BBNX,Beta Bionics Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
BBSI,Barrett Business Services Inc. Common Stock,United States,Consumer Discretionary,Professional Services
BBU,Brookfield Business Partners L.P. Limited Partnership Units ,,Consumer Discretionary,Engineering & Construction
BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares,,Consumer Discretionary,Engineering & Construction
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Spain,Finance,Commercial Banks
BBW,Build-A-Bear Workshop Inc. Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys
BBWI,Bath & Body Works Inc.,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BBY,Best Buy Co. Inc. Common Stock,United States,Consumer Discretionary,Consumer Electronics/Video Chains
BC,Brunswick Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
BC^A,Brunswick Corporation 6.500% Senior Notes due 2048,United States,,
BC^C,Brunswick Corporation 6.375% Notes due 2049,United States,,
BCAB,BioAtla Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCAL,California BanCorp Common Stock,United States,Finance,Major Banks
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
BCAX,Bicara Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BCBP,BCB Bancorp Inc. (NJ) Common Stock,United States,Finance,Savings Institutions
BCC,Boise Cascade L.L.C. Common Stock,United States,Consumer Discretionary,RETAIL: Building Materials
BCDA,BioCardia Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCE,BCE Inc. Common Stock,Canada,Telecommunications,Telecommunications Equipment
BCG,Binah Capital Group Inc. Common Stock,United States,Finance,Finance: Consumer Services
BCH,Banco De Chile ADS,Chile,Finance,Commercial Banks
BCLI,Brainstorm Cell Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCML,BayCom Corp Common Stock,United States,Finance,Major Banks
BCO,Brinks Company (The) Common Stock,United States,Consumer Discretionary,Oil Refining/Marketing
BCPC,Balchem Corporation Common Stock,United States,Industrials,Major Chemicals
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCS,Barclays PLC Common Stock,United Kingdom,Finance,Commercial Banks
BCSF,Bain Capital Specialty Finance Inc. Common Stock,United States,Finance,Finance/Investors Services
BCTX,BriaCell Therapeutics Corp. Common Shares,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
BCTXW,BriaCell Therapeutics Corp. Warrant,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
BCTXZ,BriaCell Therapeutics Corp. Warrant,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
BCV,Bancroft Fund Ltd.,United States,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,United States,,
BCX,BlackRock Resources Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
BCYC,Bicycle Therapeutics plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
BDC,Belden Inc Common Stock,United States,Industrials,Telecommunications Equipment
BDJ,Blackrock Enhanced Equity Dividend Trust,United States,Finance,Finance Companies
BDL,Flanigan's Enterprises Inc. Common Stock,United States,Consumer Discretionary,Restaurants
BDMD,Baird Medical Investment Holdings Ltd Ordinary Share,China,Health Care,Medical/Dental Instruments
BDMDW,Baird Medical Investment Holdings Ltd Warrant,China,Health Care,Medical/Dental Instruments
BDN,Brandywine Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
BDRX,Biodexa Pharmaceuticals plc American Depositary Shs,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
BDSX,Biodesix Inc. Common Stock,United States,Health Care,Medical Specialities
BDTX,Black Diamond Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BDX,Becton Dickinson and Company Common Stock,United States,Health Care,Medical/Dental Instruments
BE,Bloom Energy Corporation Class A Common Stock,United States,Energy,Industrial Machinery/Components
BEAG,Bold Eagle Acquisition Corp. Class A Ordinary Shares,United States,,
BEAGR,Bold Eagle Acquisition Corp. Right,United States,,
BEAGU,Bold Eagle Acquisition Corp. Units,United States,,
BEAM,Beam Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BEAT,Heartbeam Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
BEATW,Heartbeam Inc. Warrant,United States,Health Care,Medical/Dental Instruments
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing four Class A Ordinary Share,China,Real Estate,Other Consumer Services
BEEM,Beam Global Common Stock,United States,Technology,Semiconductors
BEEP,Mobile Infrastructure Corporation Common Stock,United States,Finance,Blank Checks
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),China,Finance,Real Estate
BELFA,Bel Fuse Inc. Class A Common Stock,United States,,
BELFB,Bel Fuse Inc. Class B Common Stock,United States,,
BEN,Franklin Resources Inc. Common Stock,United States,Finance,Investment Managers
BENF,Beneficient Class A Common Stock,United States,Finance,Finance: Consumer Services
BENFW,Beneficient Warrant,United States,Finance,Finance: Consumer Services
BEP,Brookfield Renewable Partners L.P. Limited Partnership Units,Canada,Utilities,Electric Utilities: Central
BEP^A,Brookfield Renewable Partners L.P. 5.25% Class A Preferred Limited Partnership Units Series 17,Canada,,
BEPC,Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares,United States,Utilities,Electric Utilities: Central
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,Canada,Utilities,Electric Utilities: Central
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,Canada,Utilities,Electric Utilities: Central
BEPJ,Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes,Canada,Utilities,Electric Utilities: Central
BETR,Better Home & Finance Holding Company Class A Common Stock,United Kingdom,Finance,Finance: Consumer Services
BF/A,Brown Forman Corporation,United States,,
BF/B,Brown Forman Corporation,United States,,
BFAM,Bright Horizons Family Solutions Inc. Common Stock,United States,Consumer Discretionary,Other Consumer Services
BFC,Bank First Corporation Common Stock,United States,Finance,Major Banks
BFH,Bread Financial Holdings Inc. Common Stock,United States,Consumer Discretionary,Business Services
BFIN,BankFinancial Corporation Common Stock,United States,Finance,Savings Institutions
BFK,BlackRock Municipal Income Trust,United States,Finance,Finance Companies
BFLY,Butterfly Network Inc. Class A Common Stock,United States,Health Care,Medical Electronics
BFRG,Bullfrog AI Holdings Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BFRGW,Bullfrog AI Holdings Inc. Warrants,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BFRI,Biofrontera Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BFRIW,Biofrontera Inc. Warrants,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BFS,Saul Centers Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
BFS^D,Saul Centers Inc. Depositary Shares each representing 1/100th of a share of 6.125% Series D Cumulative Redeemable Preferred Stock,United States,,
BFS^E,Saul Centers Inc. Depositary shares each representing a 1/100th fractional interest in a share of 6.000% Series E Cumulative Redeemable Preferred Stock,United States,,
BFST,Business First Bancshares Inc. Common Stock,United States,Finance,Major Banks
BFZ,BlackRock California Municipal Income Trust,United States,Finance,Finance Companies
BG,Bunge Limited Common Shares,United States,Consumer Staples,Packaged Foods
BGB,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
BGC,BGC Group Inc. Class A Common Stock,United States,Finance,Investment Bankers/Brokers/Service
BGFV,Big 5 Sporting Goods Corporation Common Stock,United States,Consumer Discretionary,Other Specialty Stores
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,United States,Finance,Investment Managers
BGI,Birks Group Inc. Common Stock,Canada,Consumer Discretionary,Consumer Specialties
BGLC,BioNexus Gene Lab Corp Common stock,Malaysia,Health Care,Medical Specialities
BGM,BGM Group Ltd. Class A Ordinary Shares,China,Health Care,Biotechnology: Pharmaceutical Preparations
BGR,BlackRock Energy and Resources Trust,United States,Finance,Trusts Except Educational Religious and Charitable
BGS,B&G Foods Inc. Common Stock,United States,Consumer Staples,Packaged Foods
BGSF,BGSF Inc. Common Stock,United States,Consumer Discretionary,Professional Services
BGT,BlackRock Floating Rate Income Trust,United States,Finance,Trusts Except Educational Religious and Charitable
BGX,Blackstone Long Short Credit Income Fund Common Shares,,Finance,Trusts Except Educational Religious and Charitable
BGY,Blackrock Enhanced International Dividend Trust,United States,Finance,Trusts Except Educational Religious and Charitable
BH,Biglari Holdings Inc. Class B Common Stock,United States,Consumer Discretionary,Restaurants
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares,China,Consumer Discretionary,Recreational Games/Products/Toys
BHB,Bar Harbor Bankshares Inc. Common Stock,United States,Finance,Major Banks
BHC,Bausch Health Companies Inc. Common Stock,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
BHE,Benchmark Electronics Inc. Common Stock,United States,Technology,Electrical Products
BHF,Brighthouse Financial Inc. Common Stock,United States,Finance,Life Insurance
BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058,United States,Finance,Life Insurance
BHFAM,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock Series D,United States,Finance,Life Insurance
BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C,United States,Finance,Life Insurance
BHFAO,Brighthouse Financial Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock Series B,United States,Finance,Life Insurance
BHFAP,Brighthouse Financial Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock Series A,United States,Finance,Life Insurance
BHK,Blackrock Core Bond Trust,United States,Finance,Finance Companies
BHLB,Berkshire Hills Bancorp Inc. Common Stock,United States,Finance,Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,,Real Estate,Real Estate Investment Trusts
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Australia,Energy,Coal Mining
BHR,Braemar Hotels & Resorts Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
BHR^B,Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share,United States,,
BHR^D,Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock  par value $0.01 per share,United States,,
BHRB,Burke & Herbert Financial Services Corp. Common Stock,United States,Finance,Major Banks
BHST,BioHarvest Sciences Inc. Common Stock,Canada,,
BHV,BlackRock Virginia Municipal Bond Trust,United States,Finance,Finance/Investors Services
BHVN,Biohaven Ltd. Common Shares ,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BIAF,bioAffinity Technologies Inc. Common Stock,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BIAFW,bioAffinity Technologies Inc. Warrant,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BIDU,Baidu Inc. ADS,China,Technology,Computer Software: Programming Data Processing
BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,United States,Technology,Computer Software: Prepackaged Software
BIIB,Biogen Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BILI,Bilibili Inc. American Depositary Shares,China,Technology,EDP Services
BILL,BILL Holdings Inc. Common Stock,United States,Technology,EDP Services
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
BIO/B,Bio-Rad Laboratories Inc.,United States,,
BIOA,BioAge Labs Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,Argentina,Industrials,Agricultural Chemicals
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,Bermuda,Consumer Discretionary,Marine Transportation
BIP^A,Brookfield Infrastructure Partners LP 5.125% Class A Preferred Limited Partnership Units Series 13,Bermuda,,
BIP^B,Brookfield Infrastructure Partners LP 5.000% Class A Preferred Limited Partnership Units Series 14,Bermuda,,
BIPC,Brookfield Infrastructure Corporation Brookfield Infrastructure Corporation,Canada,Consumer Discretionary,Marine Transportation
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,Canada,Utilities,Oil & Gas Production
BIPI,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes,Bermuda,Consumer Discretionary,Marine Transportation
BIPJ,Brookfield Infrastructure Corporation 7.250% Subordinated Notes due 2084,Canada,Utilities,Oil & Gas Production
BIRD,Allbirds Inc. Class A Common Stock,United States,Consumer Discretionary,Apparel
BIRK,Birkenstock Holding plc Ordinary Shares,,Consumer Discretionary,Shoe Manufacturing
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,,Finance,Trusts Except Educational Religious and Charitable
BITF,Bitfarms Ltd. Common Stock,Canada,Finance,Finance: Consumer Services
BIVI,BioVie Inc. Class A Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BIYA,Baiya International Group Inc. Ordinary Shares,China,Consumer Discretionary,Diversified Commercial Services
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,United States,Consumer Discretionary,Department/Specialty Retail Stores
BJDX,Bluejay Diagnostics Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
BJRI,BJ's Restaurants Inc. Common Stock,United States,Consumer Discretionary,Restaurants
BK,The Bank of New York Mellon Corporation Common Stock,United States,Finance,Major Banks
BK^K,The Bank Of New York Mellon Corporation  Depositary Shares each representing a 1/4000th interest in a share of Series K Noncumulative Perpetual Preferred Stock,United States,,
BKD,Brookdale Senior Living Inc. Common Stock,United States,Health Care,Hospital/Nursing Management
BKE,Buckle Inc. (The) Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BKH,Black Hills Corporation Common Stock,United States,Utilities,Electric Utilities: Central
BKHA,Black Hawk Acquisition Corporation Class A Ordinary Shares,United States,,
BKHAR,Black Hawk Acquisition Corporation Rights,United States,,
BKKT,Bakkt Holdings Inc. Class A Common Stock,United States,Finance,Finance: Consumer Services
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),United States,Finance,Trusts Except Educational Religious and Charitable
BKNG,Booking Holdings Inc. Common Stock,United States,Consumer Discretionary,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,United States,Industrials,Metal Fabrications
BKSY,BlackSky Technology Inc. Class A Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
BKT,BlackRock Income Trust Inc. (The),United States,Finance,Investment Bankers/Brokers/Service
BKTI,BK Technologies Corporation Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
BKU,BankUnited Inc. Common Stock,United States,Finance,Savings Institutions
BKV,BKV Corporation Common Stock,United States,Energy,Oil & Gas Production
BKYI,BIO-key International Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
BL,BlackLine Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
BLBD,Blue Bird Corporation Common Stock,United States,Consumer Discretionary,Construction/Ag Equipment/Trucks
BLBX,Blackboxstocks Inc. Common Stock,United States,Technology,EDP Services
BLCO,Bausch + Lomb Corporation Common Shares,,Health Care,Ophthalmic Goods
BLD,TopBuild Corp. Common Stock,United States,Consumer Discretionary,Engineering & Construction
BLDE,Blade Air Mobility Inc. Class A Common Stock,United States,Consumer Discretionary,Transportation Services
BLDEW,Blade Air Mobility Inc. Warrants,United States,Consumer Discretionary,Transportation Services
BLDP,Ballard Power Systems Inc. Common Shares,Canada,Energy,Industrial Machinery/Components
BLDR,Builders FirstSource Inc. Common Stock,United States,Consumer Discretionary,RETAIL: Building Materials
BLE,BlackRock Municipal Income Trust II,United States,Finance,Finance/Investors Services
BLFS,BioLife Solutions Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLFY,Blue Foundry Bancorp Common Stock,United States,Finance,Banks
BLIN,Bridgeline Digital Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
BLIV,BeLive Holdings Ordinary Share,Singapore,Technology,EDP Services
BLK,BlackRock Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
BLKB,Blackbaud Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
BLMN,Bloomin' Brands Inc. Common Stock,United States,Consumer Discretionary,Restaurants
BLMZ,BloomZ Inc. Ordinary Shares,Japan,Consumer Discretionary,Movies/Entertainment
BLND,Blend Labs Inc. Class A Common Stock,United States,Technology,Computer Software: Programming Data Processing
BLNE,Beeline Holdings Inc. Common Stock,United States,Consumer Staples,Beverages (Production/Distribution)
BLNK,Blink Charging Co. Common Stock,United States,Consumer Discretionary,Industrial Specialties
BLRX,BioLineRx Ltd. American Depositary Shares,Israel,Health Care,Biotechnology: Pharmaceutical Preparations
BLTE,Belite Bio Inc American Depositary Shares,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BLUE,bluebird bio Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BLW,Blackrock Limited Duration Income Trust,United States,Consumer Discretionary,Other Consumer Services
BLX,Banco Latinoamericano de Comercio Exterior S.A.,Panama,Finance,Commercial Banks
BLZE,Backblaze Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),Argentina,Finance,Commercial Banks
BMBL,Bumble Inc. Class A Common Stock,United States,Technology,Computer Software: Programming Data Processing
BME,Blackrock Health Sciences Trust,United States,Finance,Trusts Except Educational Religious and Charitable
BMEA,Biomea Fusion Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BMEZ,BlackRock Health Sciences Term Trust Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
BMGL,Basel Medical Group Ltd Ordinary Shares,Singapore,,
BMI,Badger Meter Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
BML^G,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock  Series 1),United States,,
BML^H,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 2),United States,,
BML^J,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 4),United States,,
BML^L,Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 5),United States,,
BMN,BlackRock 2037 Municipal Target Term Trust Common Shares of Beneficial Interest,,Finance,Trusts Except Educational Religious and Charitable
BMO,Bank Of Montreal Common Stock,Canada,Finance,Commercial Banks
BMR,Beamr Imaging Ltd. Ordinary Share,Israel,Technology,Computer Software: Prepackaged Software
BMRA,Biomerica Inc. Common Stock,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BMRC,Bank of Marin Bancorp Common Stock,United States,Finance,Major Banks
BMRN,BioMarin Pharmaceutical Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BMY,Bristol-Myers Squibb Company Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BN,Brookfield Corporation Class A Limited Voting Shares,Canada,Real Estate,Building operators
BNAI,Brand Engagement Network Inc. Common Stock,United States,Technology,EDP Services
BNAIW,Brand Engagement Network Inc. Warrant,United States,Technology,EDP Services
BNED,Barnes & Noble Education Inc Common Stock,United States,Consumer Discretionary,Other Specialty Stores
BNGO,Bionano Genomics Inc. Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
BNH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080,Canada,Real Estate,Building operators
BNJ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,Canada,Real Estate,Building operators
